instancia,n_trabajos,n_maquinas,metodo,semilla,cmax,mejor_conocido,rpd,tiempo_segundos
ta041,50,10,Memetico,6,3118,2991,4.2461,9.051
ta041,50,10,Memetico,7,3210,2991,7.3220,6.372
ta041,50,10,Memetico,8,3144,2991,5.1153,7.577
ta041,50,10,Memetico,9,3098,2991,3.5774,8.904
ta041,50,10,Memetico,10,3280,2991,9.6623,4.335
ta041,50,10,Memetico,11,3096,2991,3.5105,10.015
ta041,50,10,Memetico,12,3156,2991,5.5165,5.538
ta041,50,10,Memetico,13,3155,2991,5.4831,8.347
ta041,50,10,Memetico,14,3170,2991,5.9846,7.020
ta041,50,10,Memetico,15,3126,2991,4.5135,10.770
ta041,50,10,Memetico,16,3172,2991,6.0515,8.549
ta041,50,10,Memetico,17,3110,2991,3.9786,10.604
ta041,50,10,Memetico,18,3138,2991,4.9147,7.242
ta041,50,10,Memetico,19,3127,2991,4.5470,10.333
ta041,50,10,Memetico,20,3169,2991,5.9512,7.625
ta041,50,10,Memetico,21,3138,2991,4.9147,8.846
ta041,50,10,Memetico,22,3142,2991,5.0485,7.134
ta041,50,10,Memetico,23,3147,2991,5.2156,6.857
ta041,50,10,Memetico,24,3152,2991,5.3828,6.430
ta041,50,10,Memetico,25,3164,2991,5.7840,6.195
ta041,50,10,Memetico,26,3115,2991,4.1458,10.068
ta041,50,10,Memetico,27,3138,2991,4.9147,8.629
ta041,50,10,Memetico,28,3114,2991,4.1123,9.573
ta041,50,10,Memetico,29,3117,2991,4.2126,6.848
ta041,50,10,Memetico,30,3120,2991,4.3129,7.460
ta071,100,10,AG,1,6362,5770,10.2600,3.145
ta071,100,10,AG,2,6307,5770,9.3068,3.441
ta071,100,10,AG,3,6253,5770,8.3709,3.492
ta071,100,10,AG,4,6237,5770,8.0936,3.531
ta071,100,10,AG,5,6337,5770,9.8267,3.446
ta071,100,10,AG,6,6291,5770,9.0295,3.232
ta071,100,10,AG,7,6310,5770,9.3588,3.291
ta071,100,10,AG,8,6281,5770,8.8562,3.220
ta071,100,10,AG,9,6300,5770,9.1854,3.402
ta071,100,10,AG,10,6252,5770,8.3536,3.329
ta071,100,10,AG,11,6258,5770,8.4575,3.474
ta071,100,10,AG,12,6356,5770,10.1560,3.371
ta071,100,10,AG,13,6358,5770,10.1906,3.276
ta071,100,10,AG,14,6396,5770,10.8492,3.373
ta071,100,10,AG,15,6226,5770,7.9029,3.367
ta071,100,10,AG,16,6355,5770,10.1386,3.768
ta071,100,10,AG,17,6202,5770,7.4870,3.606
ta071,100,10,AG,18,6371,5770,10.4159,3.666
ta071,100,10,AG,19,6294,5770,9.0815,4.129
ta071,100,10,AG,20,6328,5770,9.6707,3.900
ta071,100,10,AG,21,6395,5770,10.8319,3.371
ta071,100,10,AG,22,6380,5770,10.5719,3.199
ta071,100,10,AG,23,6384,5770,10.6412,3.270
ta071,100,10,AG,24,6257,5770,8.4402,3.251
ta071,100,10,AG,25,6328,5770,9.6707,3.146
ta071,100,10,AG,26,6307,5770,9.3068,3.207
ta071,100,10,AG,27,6289,5770,8.9948,3.206
ta071,100,10,AG,28,6340,5770,9.8787,3.674
ta071,100,10,AG,29,6330,5770,9.7054,3.437
ta071,100,10,AG,30,6330,5770,9.7054,3.134
ta071,100,10,Memetico,1,5846,5770,1.3172,64.052
ta071,100,10,Memetico,2,5869,5770,1.7158,58.651
ta071,100,10,Memetico,3,5839,5770,1.1958,59.028
ta071,100,10,Memetico,4,5888,5770,2.0451,62.740
ta071,100,10,Memetico,5,5850,5770,1.3865,64.491
ta071,100,10,Memetico,6,5909,5770,2.4090,50.370
ta071,100,10,Memetico,7,5831,5770,1.0572,76.151
ta071,100,10,Memetico,8,5846,5770,1.3172,69.290
ta071,100,10,Memetico,9,5905,5770,2.3397,61.270
ta071,100,10,Memetico,10,5923,5770,2.6516,63.846
ta071,100,10,Memetico,11,5849,5770,1.3692,72.106
ta071,100,10,Memetico,12,5911,5770,2.4437,58.943
ta071,100,10,Memetico,13,5845,5770,1.2998,76.426
ta071,100,10,Memetico,14,5839,5770,1.1958,74.481
ta071,100,10,Memetico,15,5851,5770,1.4038,74.988
ta071,100,10,Memetico,16,5948,5770,3.0849,35.752
ta071,100,10,Memetico,17,5863,5770,1.6118,56.645
ta071,100,10,Memetico,18,5841,5770,1.2305,75.198
ta071,100,10,Memetico,19,5892,5770,2.1144,67.964
ta071,100,10,Memetico,20,5849,5770,1.3692,62.041
ta071,100,10,Memetico,21,5851,5770,1.4038,51.366
ta071,100,10,Memetico,22,5827,5770,0.9879,93.971
ta071,100,10,Memetico,23,5894,5770,2.1490,57.084
ta071,100,10,Memetico,24,5836,5770,1.1438,88.382
ta071,100,10,Memetico,25,5857,5770,1.5078,73.467
ta071,100,10,Memetico,26,5865,5770,1.6464,70.900
ta071,100,10,Memetico,27,5906,5770,2.3570,54.885
ta071,100,10,Memetico,28,5862,5770,1.5945,65.510
ta071,100,10,Memetico,29,5893,5770,2.1317,60.593
ta071,100,10,Memetico,30,5839,5770,1.1958,62.467
