instancia,n_trabajos,n_maquinas,metodo,semilla,cmax,mejor_conocido,rpd,tiempo_segundos
ta001,20,5,AG,1,1286,1278,0.6260,0.370
ta001,20,5,AG,2,1286,1278,0.6260,0.373
ta001,20,5,AG,3,1286,1278,0.6260,0.347
ta001,20,5,AG,4,1286,1278,0.6260,0.362
ta001,20,5,AG,5,1286,1278,0.6260,0.374
ta001,20,5,AG,6,1286,1278,0.6260,0.343
ta001,20,5,AG,7,1286,1278,0.6260,0.343
ta001,20,5,AG,8,1286,1278,0.6260,0.351
ta001,20,5,AG,9,1286,1278,0.6260,0.513
ta001,20,5,AG,10,1286,1278,0.6260,0.458
ta001,20,5,AG,11,1286,1278,0.6260,0.362
ta001,20,5,AG,12,1286,1278,0.6260,0.391
ta001,20,5,AG,13,1286,1278,0.6260,0.368
ta001,20,5,AG,14,1286,1278,0.6260,0.356
ta001,20,5,AG,15,1286,1278,0.6260,0.503
ta001,20,5,AG,16,1286,1278,0.6260,0.573
ta001,20,5,AG,17,1286,1278,0.6260,0.504
ta001,20,5,AG,18,1286,1278,0.6260,0.429
ta001,20,5,AG,19,1286,1278,0.6260,0.540
ta001,20,5,AG,20,1286,1278,0.6260,0.481
ta001,20,5,AG,21,1286,1278,0.6260,0.461
ta001,20,5,AG,22,1286,1278,0.6260,0.470
ta001,20,5,AG,23,1286,1278,0.6260,0.478
ta001,20,5,AG,24,1286,1278,0.6260,0.508
ta001,20,5,AG,25,1286,1278,0.6260,0.484
ta001,20,5,AG,26,1286,1278,0.6260,0.488
ta001,20,5,AG,27,1286,1278,0.6260,0.412
ta001,20,5,AG,28,1286,1278,0.6260,0.509
ta001,20,5,AG,29,1286,1278,0.6260,0.560
ta001,20,5,AG,30,1286,1278,0.6260,0.572
ta001,20,5,Memetico,1,1286,1278,0.6260,0.975
ta001,20,5,Memetico,2,1278,1278,0.0000,1.215
ta001,20,5,Memetico,3,1286,1278,0.6260,1.022
ta001,20,5,Memetico,4,1286,1278,0.6260,1.229
ta001,20,5,Memetico,5,1286,1278,0.6260,1.035
ta001,20,5,Memetico,6,1286,1278,0.6260,1.000
ta001,20,5,Memetico,7,1279,1278,0.0782,1.073
ta001,20,5,Memetico,8,1278,1278,0.0000,1.028
ta001,20,5,Memetico,9,1286,1278,0.6260,0.877
ta001,20,5,Memetico,10,1286,1278,0.6260,0.856
ta001,20,5,Memetico,11,1286,1278,0.6260,0.982
ta001,20,5,Memetico,12,1286,1278,0.6260,0.732
ta001,20,5,Memetico,13,1286,1278,0.6260,0.900
ta001,20,5,Memetico,14,1286,1278,0.6260,1.094
ta001,20,5,Memetico,15,1282,1278,0.3130,0.869
ta001,20,5,Memetico,16,1286,1278,0.6260,0.921
ta001,20,5,Memetico,17,1286,1278,0.6260,0.887
ta001,20,5,Memetico,18,1286,1278,0.6260,0.985
ta001,20,5,Memetico,19,1282,1278,0.3130,1.004
ta001,20,5,Memetico,20,1286,1278,0.6260,0.788
ta001,20,5,Memetico,21,1286,1278,0.6260,0.983
ta001,20,5,Memetico,22,1286,1278,0.6260,0.848
ta001,20,5,Memetico,23,1286,1278,0.6260,1.040
ta001,20,5,Memetico,24,1286,1278,0.6260,0.983
ta001,20,5,Memetico,25,1286,1278,0.6260,0.762
ta001,20,5,Memetico,26,1286,1278,0.6260,1.070
ta001,20,5,Memetico,27,1286,1278,0.6260,0.952
ta001,20,5,Memetico,28,1286,1278,0.6260,1.006
ta001,20,5,Memetico,29,1286,1278,0.6260,0.957
ta001,20,5,Memetico,30,1286,1278,0.6260,0.881
ta041,50,10,AG,1,3135,2991,4.8144,1.905
ta041,50,10,AG,2,3135,2991,4.8144,2.172
ta041,50,10,AG,3,3135,2991,4.8144,2.228
ta041,50,10,AG,4,3135,2991,4.8144,2.168
ta041,50,10,AG,5,3135,2991,4.8144,2.227
ta041,50,10,AG,6,3135,2991,4.8144,2.265
ta041,50,10,AG,7,3135,2991,4.8144,2.056
ta041,50,10,AG,8,3135,2991,4.8144,2.185
ta041,50,10,AG,9,3135,2991,4.8144,2.060
ta041,50,10,AG,10,3135,2991,4.8144,1.897
