instancia,n_trabajos,n_maquinas,metodo,semilla,cmax,mejor_conocido,rpd,tiempo_segundos
ta071,100,10,AG,1,5846,5770,1.3172,3.675
ta071,100,10,AG,2,5846,5770,1.3172,4.523
ta071,100,10,AG,3,5846,5770,1.3172,4.340
ta071,100,10,AG,4,5846,5770,1.3172,4.519
ta071,100,10,AG,5,5846,5770,1.3172,4.331
ta071,100,10,AG,6,5846,5770,1.3172,4.200
ta071,100,10,AG,7,5846,5770,1.3172,4.198
ta071,100,10,AG,8,5846,5770,1.3172,4.383
ta071,100,10,AG,9,5846,5770,1.3172,4.111
ta071,100,10,AG,10,5846,5770,1.3172,4.140
ta071,100,10,AG,11,5846,5770,1.3172,4.014
ta071,100,10,AG,12,5846,5770,1.3172,4.516
ta071,100,10,AG,13,5846,5770,1.3172,4.350
ta071,100,10,AG,14,5846,5770,1.3172,4.404
ta071,100,10,AG,15,5846,5770,1.3172,4.501
ta071,100,10,AG,16,5846,5770,1.3172,4.099
ta071,100,10,AG,17,5846,5770,1.3172,4.070
ta071,100,10,AG,18,5846,5770,1.3172,4.045
ta071,100,10,AG,19,5846,5770,1.3172,4.325
ta071,100,10,AG,20,5846,5770,1.3172,4.340
ta071,100,10,AG,21,5846,5770,1.3172,4.399
ta071,100,10,AG,22,5846,5770,1.3172,4.140
ta071,100,10,AG,23,5846,5770,1.3172,4.474
ta071,100,10,AG,24,5846,5770,1.3172,3.706
ta071,100,10,AG,25,5846,5770,1.3172,4.218
ta071,100,10,AG,26,5846,5770,1.3172,4.171
ta071,100,10,AG,27,5846,5770,1.3172,4.041
ta071,100,10,AG,28,5846,5770,1.3172,4.348
ta071,100,10,AG,29,5846,5770,1.3172,4.403
ta071,100,10,AG,30,5846,5770,1.3172,4.487
ta071,100,10,Memetico,1,5820,5770,0.8666,102.696
ta071,100,10,Memetico,2,5805,5770,0.6066,45.622
ta071,100,10,Memetico,3,5805,5770,0.6066,112.171
ta071,100,10,Memetico,4,5805,5770,0.6066,45.013
ta071,100,10,Memetico,5,5805,5770,0.6066,44.089
ta071,100,10,Memetico,6,5802,5770,0.5546,56.901
ta071,100,10,Memetico,7,5805,5770,0.6066,107.219
ta071,100,10,Memetico,8,5805,5770,0.6066,87.088
ta071,100,10,Memetico,9,5805,5770,0.6066,119.086
ta071,100,10,Memetico,10,5805,5770,0.6066,89.694
ta071,100,10,Memetico,11,5805,5770,0.6066,121.488
ta071,100,10,Memetico,12,5805,5770,0.6066,41.023
ta071,100,10,Memetico,13,5805,5770,0.6066,48.234
ta071,100,10,Memetico,14,5805,5770,0.6066,101.092
ta071,100,10,Memetico,15,5805,5770,0.6066,83.343
ta071,100,10,Memetico,16,5805,5770,0.6066,89.424
ta071,100,10,Memetico,17,5805,5770,0.6066,109.410
ta071,100,10,Memetico,18,5805,5770,0.6066,121.813
ta071,100,10,Memetico,19,5809,5770,0.6759,139.714
ta071,100,10,Memetico,20,5820,5770,0.8666,38.597
ta071,100,10,Memetico,21,5820,5770,0.8666,150.506
ta071,100,10,Memetico,22,5805,5770,0.6066,49.594
ta071,100,10,Memetico,23,5805,5770,0.6066,105.909
ta071,100,10,Memetico,24,5805,5770,0.6066,150.396
ta071,100,10,Memetico,25,5805,5770,0.6066,90.644
ta071,100,10,Memetico,26,5820,5770,0.8666,98.402
ta071,100,10,Memetico,27,5800,5770,0.5199,124.765
ta071,100,10,Memetico,28,5805,5770,0.6066,102.135
ta071,100,10,Memetico,29,5805,5770,0.6066,150.419
ta071,100,10,Memetico,30,5805,5770,0.6066,50.082
