instancia,n_trabajos,n_maquinas,metodo,semilla,cmax,mejor_conocido,rpd,tiempo_segundos
ta041,50,10,Memetico,6,3076,2991,2.8419,27.366
ta041,50,10,Memetico,7,3087,2991,3.2096,20.862
ta041,50,10,Memetico,8,3105,2991,3.8114,12.207
ta041,50,10,Memetico,9,3105,2991,3.8114,36.135
ta041,50,10,Memetico,10,3105,2991,3.8114,19.635
ta041,50,10,Memetico,11,3074,2991,2.7750,18.425
ta041,50,10,Memetico,12,3086,2991,3.1762,27.869
ta041,50,10,Memetico,13,3105,2991,3.8114,15.049
ta041,50,10,Memetico,14,3105,2991,3.8114,8.672
ta041,50,10,Memetico,15,3105,2991,3.8114,21.549
ta041,50,10,Memetico,16,3103,2991,3.7446,15.426
ta041,50,10,Memetico,17,3074,2991,2.7750,20.152
ta041,50,10,Memetico,18,3065,2991,2.4741,18.642
ta041,50,10,Memetico,19,3105,2991,3.8114,17.256
ta041,50,10,Memetico,20,3105,2991,3.8114,10.976
ta041,50,10,Memetico,21,3105,2991,3.8114,16.785
ta041,50,10,Memetico,22,3105,2991,3.8114,16.654
ta041,50,10,Memetico,23,3082,2991,3.0425,15.333
ta041,50,10,Memetico,24,3082,2991,3.0425,11.334
ta041,50,10,Memetico,25,3105,2991,3.8114,11.218
ta041,50,10,Memetico,26,3105,2991,3.8114,13.524
ta041,50,10,Memetico,27,3104,2991,3.7780,26.762
ta041,50,10,Memetico,28,3105,2991,3.8114,17.782
ta041,50,10,Memetico,29,3090,2991,3.3099,20.374
ta041,50,10,Memetico,30,3105,2991,3.8114,10.479
ta071,100,10,AG,1,5846,5770,1.3172,5.813
ta071,100,10,AG,2,5846,5770,1.3172,5.798
ta071,100,10,AG,3,5846,5770,1.3172,6.463
ta071,100,10,AG,4,5846,5770,1.3172,6.036
ta071,100,10,AG,5,5846,5770,1.3172,5.507
ta071,100,10,AG,6,5846,5770,1.3172,5.400
ta071,100,10,AG,7,5846,5770,1.3172,4.965
ta071,100,10,AG,8,5846,5770,1.3172,4.693
ta071,100,10,AG,9,5846,5770,1.3172,4.641
ta071,100,10,AG,10,5846,5770,1.3172,4.577
ta071,100,10,AG,11,5846,5770,1.3172,4.679
ta071,100,10,AG,12,5846,5770,1.3172,4.719
ta071,100,10,AG,13,5846,5770,1.3172,4.652
ta071,100,10,AG,14,5846,5770,1.3172,4.654
ta071,100,10,AG,15,5846,5770,1.3172,4.714
ta071,100,10,AG,16,5846,5770,1.3172,4.731
ta071,100,10,AG,17,5846,5770,1.3172,4.651
ta071,100,10,AG,18,5846,5770,1.3172,4.689
ta071,100,10,AG,19,5846,5770,1.3172,4.630
ta071,100,10,AG,20,5846,5770,1.3172,4.724
ta071,100,10,AG,21,5846,5770,1.3172,4.715
ta071,100,10,AG,22,5846,5770,1.3172,4.699
ta071,100,10,AG,23,5846,5770,1.3172,5.309
ta071,100,10,AG,24,5846,5770,1.3172,5.490
ta071,100,10,AG,25,5846,5770,1.3172,5.347
ta071,100,10,AG,26,5846,5770,1.3172,5.370
ta071,100,10,AG,27,5846,5770,1.3172,5.522
ta071,100,10,AG,28,5846,5770,1.3172,6.165
ta071,100,10,AG,29,5846,5770,1.3172,5.486
ta071,100,10,AG,30,5846,5770,1.3172,5.583
ta071,100,10,Memetico,1,5820,5770,0.8666,96.368
ta071,100,10,Memetico,2,5805,5770,0.6066,43.254
ta071,100,10,Memetico,3,5805,5770,0.6066,105.170
ta071,100,10,Memetico,4,5805,5770,0.6066,43.299
ta071,100,10,Memetico,5,5805,5770,0.6066,36.746
ta071,100,10,Memetico,6,5802,5770,0.5546,47.434
ta071,100,10,Memetico,7,5805,5770,0.6066,91.256
ta071,100,10,Memetico,8,5805,5770,0.6066,85.386
ta071,100,10,Memetico,9,5805,5770,0.6066,113.028
ta071,100,10,Memetico,10,5805,5770,0.6066,90.640
ta071,100,10,Memetico,11,5805,5770,0.6066,106.055
ta071,100,10,Memetico,12,5805,5770,0.6066,43.549
ta071,100,10,Memetico,13,5805,5770,0.6066,51.016
ta071,100,10,Memetico,14,5805,5770,0.6066,93.079
ta071,100,10,Memetico,15,5805,5770,0.6066,68.405
ta071,100,10,Memetico,16,5805,5770,0.6066,72.776
ta071,100,10,Memetico,17,5805,5770,0.6066,84.796
ta071,100,10,Memetico,18,5805,5770,0.6066,105.278
ta071,100,10,Memetico,19,5809,5770,0.6759,116.540
ta071,100,10,Memetico,20,5820,5770,0.8666,34.536
ta071,100,10,Memetico,21,5820,5770,0.8666,116.561
ta071,100,10,Memetico,22,5805,5770,0.6066,34.942
ta071,100,10,Memetico,23,5805,5770,0.6066,83.558
ta071,100,10,Memetico,24,5805,5770,0.6066,121.340
ta071,100,10,Memetico,25,5805,5770,0.6066,64.281
ta071,100,10,Memetico,26,5820,5770,0.8666,68.600
ta071,100,10,Memetico,27,5800,5770,0.5199,98.492
ta071,100,10,Memetico,28,5805,5770,0.6066,82.123
ta071,100,10,Memetico,29,5805,5770,0.6066,118.738
ta071,100,10,Memetico,30,5805,5770,0.6066,40.729
